time,AL
2020-02-01,1688.095
2020-03-01,1610.890909
2020-04-01,1459.9345
2020-05-01,1466.371579
2020-06-01,1568.570455
2020-07-01,1643.812174
2020-08-01,1738.555238
2020-09-01,1743.774545
2020-10-01,1806.101818
2020-11-01,1935.283333
2020-12-01,2014.671905
2021-01-01,2003.9755
2021-02-01,2078.5935
2021-03-01,2190.482609
2021-04-01,2319.3925
2021-05-01,2434.7765
2021-06-01,2446.645455
2021-07-01,2497.635455
2021-08-01,2602.991905
2021-09-01,2834.556818
2021-10-01,2934.39381
2021-11-01,2636.452273
2021-12-01,2695.531429
2022-01-01,3005.9805
2022-02-01,3245.7855
2022-03-01,3498.373043
2022-04-01,3246.990476
2022-05-01,2839.505455
2022-06-01,2575.669545
2022-07-01,2408.423333
2022-08-01,2433.916087
2022-09-01,2224.755909
2022-10-01,2255.535238
2022-11-01,2350.716364
2022-12-01,2398.206818
2023-01-01,2494.900909
2023-02-01,2416.1815
2023-03-01,2296.416957
2023-04-01,2338.131
2023-05-01,2274.012609
2023-06-01,2184.753636
2023-07-01,2159.732381
2023-08-01,2135.581739
2023-09-01,2184.67381
2023-10-01,2194.390909
2023-11-01,2202.255455
2023-12-01,2192.005238
2024-01-01,2201.566522
2024-02-01,2179.457143
2024-03-01,2229.441905
2024-04-01,2499.228182
2024-05-01,2566.318696
2024-06-01,2497.6055
2024-07-01,2349.125217
2024-08-01,2352.467273
2024-09-01,2457.478095
2024-10-01,2595.583043
2024-11-01,2582.188571
2024-12-01,2540.882273
2025-01-01,2571.370435
2025-02-01,2655.7725
2025-03-01,2651.598571
2025-04-01,2367.800455
2025-05-01,2447.344091
2025-06-01,2525.959048
